date,adr,room_type,num_rooms,location,month
2023-01-03,138,single,3,Copenhagen,1
2023-01-03,216,double,2,New York,1
2023-01-04,159,double,1,Berlin,1
2023-01-04,229,single,1,New York,1
2023-01-04,102,single,4,Berlin,1
2023-01-04,179,single,3,Copenhagen,1
2023-01-04,219,single,5,New York,1
2023-01-04,63,single,3,Berlin,1
2023-01-04,83,single,3,Berlin,1
2023-01-04,347,suite,4,Berlin,1
2023-01-04,132,single,1,New York,1
2023-01-04,222,double,1,New York,1
2023-01-04,280,double,3,Copenhagen,1
2023-01-04,164,single,3,Copenhagen,1
2023-01-04,218,double,2,New York,1
2023-01-04,269,double,5,Copenhagen,1
2023-01-04,339,suite,4,New York,1
2023-01-04,102,single,5,Berlin,1
2023-01-04,122,single,4,Berlin,1
2023-01-04,71,single,3,Berlin,1
2023-01-04,132,single,4,Copenhagen,1
2023-01-04,187,double,4,New York,1
2023-01-05,181,single,5,New York,1
2023-01-05,208,double,2,Copenhagen,1
2023-01-05,207,double,4,Copenhagen,1
2023-01-05,276,double,1,New York,1
2023-01-05,230,double,2,New York,1
2023-01-05,186,double,4,Copenhagen,1
2023-01-05,155,single,3,New York,1
2023-01-05,401,suite,3,New York,1
2023-01-05,168,single,4,Berlin,1
2023-01-05,177,single,5,New York,1
2023-01-05,274,double,4,New York,1
2023-01-05,379,suite,1,New York,1
2023-01-05,151,single,5,New York,1
2023-01-05,305,double,4,New York,1
2023-01-05,250,suite,5,New York,1
2023-01-05,132,single,4,New York,1
2023-01-05,186,single,2,Copenhagen,1
2023-01-05,435,suite,1,Copenhagen,1
2023-01-05,127,single,5,New York,1
2023-01-05,87,single,4,Berlin,1
2023-01-06,300,suite,3,Copenhagen,1
2023-01-06,69,single,5,Berlin,1
2023-01-06,142,double,1,Copenhagen,1
2023-01-06,212,single,3,New York,1
2023-01-06,126,single,3,New York,1
2023-01-06,71,single,1,Berlin,1
2023-01-06,348,suite,3,New York,1
2023-01-06,179,double,5,New York,1
2023-01-06,243,suite,1,Copenhagen,1
2023-01-06,58,single,5,Berlin,1
2023-01-06,140,single,2,New York,1
2023-01-06,162,double,1,Berlin,1
2023-01-06,153,single,1,New York,1
2023-01-06,225,single,3,New York,1
2023-01-06,130,single,4,Copenhagen,1
2023-01-06,186,single,4,Copenhagen,1
2023-01-06,159,single,1,Berlin,1
2023-01-06,102,single,4,Berlin,1
2023-01-06,365,suite,4,Copenhagen,1
2023-01-06,381,suite,1,New York,1
2023-01-07,219,single,3,New York,1
2023-01-07,130,single,5,Copenhagen,1
2023-01-07,330,suite,4,New York,1
2023-01-07,349,suite,2,New York,1
2023-01-07,195,single,5,New York,1
2023-01-07,306,double,2,New York,1
2023-01-07,181,double,2,New York,1
2023-01-07,239,single,3,New York,1
2023-01-07,301,suite,2,New York,1
2023-01-07,313,suite,2,New York,1
2023-01-07,141,single,2,Berlin,1
2023-01-07,129,single,3,New York,1
2023-01-07,235,single,1,New York,1
2023-01-07,193,single,4,New York,1
2023-01-07,373,suite,5,Copenhagen,1
2023-01-07,158,single,3,New York,1
2023-01-07,277,suite,5,New York,1
2023-01-07,94,single,5,Berlin,1
2023-01-07,424,suite,4,New York,1
2023-01-07,305,double,3,New York,1
2023-01-08,225,double,4,New York,1
2023-01-08,253,suite,1,New York,1
2023-01-08,411,suite,2,Berlin,1
2023-01-08,108,single,1,Copenhagen,1
2023-01-08,302,double,4,New York,1
2023-01-08,230,double,5,New York,1
2023-01-08,161,single,5,Copenhagen,1
2023-01-08,139,single,2,Berlin,1
2023-01-08,209,double,2,New York,1
2023-01-08,397,suite,2,Copenhagen,1
2023-01-08,182,single,2,Copenhagen,1
2023-01-08,374,suite,2,Berlin,1
2023-01-08,169,double,4,New York,1
2023-01-08,183,single,4,New York,1
2023-01-08,219,double,2,New York,1
2023-01-08,240,single,3,New York,1
2023-01-08,234,single,5,New York,1
2023-01-08,392,suite,1,Copenhagen,1
2023-01-08,167,single,5,New York,1
2023-01-08,145,single,2,New York,1
2023-01-09,267,suite,2,Copenhagen,1
2023-01-09,149,double,1,Copenhagen,1
2023-01-09,158,single,2,New York,1
2023-01-09,94,single,5,Berlin,1
2023-01-09,248,double,2,Copenhagen,1
2023-01-09,108,single,4,Copenhagen,1
2023-01-09,159,single,2,Berlin,1
2023-01-09,136,single,5,Berlin,1
2023-01-09,193,double,5,New York,1
2023-01-09,155,single,2,Berlin,1
2023-01-09,144,single,4,Berlin,1
2023-01-09,185,double,3,New York,1
2023-01-09,300,double,4,New York,1
2023-01-09,231,double,3,New York,1
2023-01-09,240,single,4,New York,1
2023-01-09,423,suite,2,Berlin,1
2023-01-09,160,single,1,New York,1
2023-01-09,151,single,2,Berlin,1
2023-01-09,179,double,3,New York,1
2023-01-09,235,single,5,New York,1
2023-01-10,323,double,4,New York,1
2023-01-10,182,double,4,New York,1
2023-01-10,163,double,2,New York,1
2023-01-10,82,single,4,Berlin,1
2023-01-10,72,single,3,Berlin,1
2023-01-10,202,double,1,Copenhagen,1
2023-01-10,141,single,5,Copenhagen,1
2023-01-10,164,double,2,Copenhagen,1
2023-01-10,157,single,5,Copenhagen,1
2023-01-10,246,double,4,Copenhagen,1
2023-01-10,128,single,4,New York,1
2023-01-10,242,double,1,Berlin,1
2023-01-10,233,double,4,New York,1
2023-01-10,409,suite,1,New York,1
2023-01-10,150,single,2,Copenhagen,1
2023-01-10,254,suite,1,New York,1
2023-01-10,106,single,2,Berlin,1
2023-01-10,174,double,5,Copenhagen,1
2023-01-10,170,double,5,New York,1
2023-01-10,236,double,5,New York,1
2023-01-11,234,single,1,New York,1
2023-01-11,141,single,1,Berlin,1
2023-01-11,165,single,2,New York,1
2023-01-11,92,single,3,Copenhagen,1
2023-01-11,228,double,1,New York,1
2023-01-11,223,single,2,New York,1
2023-01-11,179,double,1,New York,1
2023-01-11,256,suite,1,Copenhagen,1
2023-01-11,92,single,2,Copenhagen,1
2023-01-11,153,single,3,New York,1
2023-01-11,187,single,1,New York,1
2023-01-11,274,suite,4,New York,1
2023-01-11,139,single,3,Berlin,1
2023-01-11,282,double,4,Berlin,1
2023-01-11,248,suite,4,Copenhagen,1
2023-01-11,90,single,2,Berlin,1
2023-01-11,79,single,4,Berlin,1
2023-01-11,157,single,3,Berlin,1
2023-01-11,259,suite,2,Berlin,1
2023-01-11,380,suite,4,Copenhagen,1
2023-01-12,220,single,1,New York,1
2023-01-12,254,double,3,New York,1
2023-01-12,260,double,3,New York,1
2023-01-12,391,suite,2,New York,1
2023-01-12,257,double,4,New York,1
2023-01-12,212,single,5,New York,1
2023-01-12,225,double,1,New York,1
2023-01-12,324,double,2,New York,1
2023-01-12,241,double,4,Berlin,1
2023-01-12,102,single,1,Berlin,1
2023-01-12,182,single,1,New York,1
2023-01-12,72,single,4,Berlin,1
2023-01-12,165,single,1,Berlin,1
2023-01-12,144,single,2,Berlin,1
2023-01-12,336,suite,2,New York,1
2023-01-12,385,suite,4,New York,1
2023-01-12,201,double,4,Copenhagen,1
2023-01-12,79,single,2,Berlin,1
2023-01-12,175,single,4,New York,1
2023-01-12,157,single,2,Berlin,1
2023-01-13,229,double,2,Copenhagen,1
2023-01-13,295,suite,1,New York,1
2023-01-13,97,single,1,Berlin,1
2023-01-13,224,double,5,Copenhagen,1
2023-01-13,268,double,2,Berlin,1
2023-01-13,310,double,2,New York,1
2023-01-13,105,single,2,Berlin,1
2023-01-13,134,single,3,Berlin,1
2023-01-13,213,double,3,Copenhagen,1
2023-01-13,185,double,3,New York,1
2023-01-13,65,single,4,Berlin,1
2023-01-13,307,double,1,New York,1
2023-01-13,166,double,4,Berlin,1
2023-01-13,328,suite,1,New York,1
2023-01-13,167,single,2,Berlin,1
2023-01-13,192,single,5,New York,1
2023-01-13,334,suite,4,Copenhagen,1
2023-01-13,490,suite,3,New York,1
2023-01-13,223,double,3,New York,1
2023-01-13,142,single,3,Copenhagen,1
2023-01-14,117,single,5,Berlin,1
2023-01-14,114,single,2,Copenhagen,1
2023-01-14,244,double,1,Copenhagen,1
2023-01-14,250,double,2,Copenhagen,1
2023-01-14,246,double,2,New York,1
2023-01-14,297,suite,3,Copenhagen,1
2023-01-14,238,double,3,New York,1
2023-01-14,230,double,5,Copenhagen,1
2023-01-14,160,single,4,New York,1
2023-01-14,176,double,2,Berlin,1
2023-01-14,249,double,5,New York,1
2023-01-14,206,double,4,Berlin,1
2023-01-14,238,single,4,New York,1
2023-01-14,125,single,4,Copenhagen,1
2023-01-14,161,single,4,Berlin,1
2023-01-14,95,single,4,Copenhagen,1
2023-01-14,124,single,4,Copenhagen,1
2023-01-14,255,double,1,New York,1
2023-01-14,489,suite,3,New York,1
2023-01-14,278,suite,3,Copenhagen,1
2023-01-15,178,single,3,Copenhagen,1
2023-01-15,145,single,1,Berlin,1
2023-01-15,315,suite,4,Copenhagen,1
2023-01-15,246,single,1,New York,1
2023-01-15,176,single,1,New York,1
2023-01-15,205,double,4,New York,1
2023-01-15,166,single,3,New York,1
2023-01-15,172,double,3,Copenhagen,1
2023-01-15,165,double,2,New York,1
2023-01-15,157,single,1,Copenhagen,1
2023-01-15,169,single,3,New York,1
2023-01-15,225,double,3,New York,1
2023-01-15,197,single,5,New York,1
2023-01-15,160,double,2,Copenhagen,1
2023-01-15,157,single,1,New York,1
2023-01-15,361,suite,4,New York,1
2023-01-15,305,suite,3,New York,1
2023-01-15,265,double,4,Berlin,1
2023-01-15,262,double,4,New York,1
2023-01-15,221,single,3,New York,1
2023-01-16,308,suite,2,New York,1
2023-01-16,166,double,4,Copenhagen,1
2023-01-16,188,double,4,Copenhagen,1
2023-01-16,220,double,2,New York,1
2023-01-16,123,double,4,Berlin,1
2023-01-16,193,double,2,New York,1
2023-01-16,168,single,2,Copenhagen,1
2023-01-16,103,single,4,Berlin,1
2023-01-16,63,single,3,Berlin,1
2023-01-16,166,double,1,Copenhagen,1
2023-01-16,201,double,1,Copenhagen,1
2023-01-16,199,single,4,New York,1
2023-01-16,158,single,4,Copenhagen,1
2023-01-16,133,double,2,Berlin,1
2023-01-16,91,single,3,Berlin,1
2023-01-16,169,single,4,Copenhagen,1
2023-01-16,136,single,2,New York,1
2023-01-16,179,double,4,Copenhagen,1
2023-01-16,225,double,3,New York,1
2023-01-16,230,double,2,Copenhagen,1
2023-01-17,101,single,4,Berlin,1
2023-01-17,201,single,2,New York,1
2023-01-17,440,suite,3,New York,1
2023-01-17,297,suite,4,Copenhagen,1
2023-01-17,134,single,4,Copenhagen,1
2023-01-17,288,double,4,New York,1
2023-01-17,164,single,3,Copenhagen,1
2023-01-17,205,double,4,New York,1
2023-01-17,95,single,2,Copenhagen,1
2023-01-17,225,double,5,Berlin,1
2023-01-17,140,single,4,Berlin,1
2023-01-17,438,suite,4,Berlin,1
2023-01-17,318,double,2,New York,1
2023-01-17,151,single,4,Berlin,1
2023-01-17,216,double,1,Copenhagen,1
2023-01-17,178,single,1,New York,1
2023-01-17,73,single,4,Berlin,1
2023-01-17,203,double,2,Copenhagen,1
2023-01-17,155,single,3,Copenhagen,1
2023-01-17,250,suite,4,Copenhagen,1
2023-01-18,120,single,3,Copenhagen,1
2023-01-18,152,single,2,Berlin,1
2023-01-18,205,double,1,New York,1
2023-01-18,171,single,1,Copenhagen,1
2023-01-18,299,suite,5,Copenhagen,1
2023-01-18,196,single,3,New York,1
2023-01-18,155,double,3,Copenhagen,1
2023-01-18,136,single,3,New York,1
2023-01-18,280,double,2,New York,1
2023-01-18,238,single,1,New York,1
2023-01-18,119,single,5,Berlin,1
2023-01-18,118,single,2,Berlin,1
2023-01-18,130,single,3,Copenhagen,1
2023-01-18,163,single,2,Copenhagen,1
2023-01-18,104,single,3,Copenhagen,1
2023-01-18,468,suite,4,New York,1
2023-01-18,157,single,1,Berlin,1
2023-01-18,309,double,3,New York,1
2023-01-18,67,single,3,Berlin,1
2023-01-18,112,single,5,Berlin,1
2023-01-19,244,double,1,Copenhagen,1
2023-01-19,148,single,3,Berlin,1
2023-01-19,191,double,5,New York,1
2023-01-19,109,single,2,Copenhagen,1
2023-01-19,151,single,3,Berlin,1
2023-01-19,122,single,2,Berlin,1
2023-01-19,153,single,4,New York,1
2023-01-19,322,double,2,New York,1
2023-01-19,212,double,2,New York,1
2023-01-19,313,double,4,New York,1
2023-01-19,317,double,2,New York,1
2023-01-19,368,suite,3,New York,1
2023-01-19,293,double,2,New York,1
2023-01-19,195,double,2,New York,1
2023-01-19,66,single,4,Berlin,1
2023-01-19,218,single,4,New York,1
2023-01-19,104,single,4,Copenhagen,1
2023-01-19,180,single,4,New York,1
2023-01-19,433,suite,4,Copenhagen,1
2023-01-19,181,double,4,Copenhagen,1
2023-01-20,143,single,1,Copenhagen,1
2023-01-20,206,double,2,New York,1
2023-01-20,169,single,2,New York,1
2023-01-20,333,suite,2,Copenhagen,1
2023-01-20,307,double,4,New York,1
2023-01-20,70,single,4,Berlin,1
2023-01-20,249,suite,4,Copenhagen,1
2023-01-20,254,double,1,Copenhagen,1
2023-01-20,217,double,3,Berlin,1
2023-01-20,154,single,4,New York,1
2023-01-20,307,double,2,New York,1
2023-01-20,198,single,1,New York,1
2023-01-20,138,single,3,New York,1
2023-01-20,171,double,3,Copenhagen,1
2023-01-20,215,double,5,Copenhagen,1
2023-01-20,252,double,5,New York,1
2023-01-20,198,double,3,New York,1
2023-01-20,138,single,3,New York,1
2023-01-20,96,single,4,Berlin,1
2023-01-20,168,double,5,Copenhagen,1
2023-01-21,242,double,2,New York,1
2023-01-21,222,double,5,Copenhagen,1
2023-01-21,121,single,1,Copenhagen,1
2023-01-21,149,single,5,Copenhagen,1
2023-01-21,185,single,1,New York,1
2023-01-21,74,single,4,Berlin,1
2023-01-21,122,single,2,Copenhagen,1
2023-01-21,156,single,5,Berlin,1
2023-01-21,174,double,2,New York,1
2023-01-21,169,single,5,New York,1
2023-01-21,135,single,2,Copenhagen,1
2023-01-21,89,single,2,Berlin,1
2023-01-21,323,suite,4,New York,1
2023-01-21,146,single,2,Berlin,1
2023-01-21,251,double,2,Copenhagen,1
2023-01-21,162,double,2,Copenhagen,1
2023-01-21,148,single,5,New York,1
2023-01-21,247,single,1,New York,1
2023-01-21,165,single,3,Berlin,1
2023-01-21,159,double,1,Copenhagen,1
2023-01-22,312,suite,2,Copenhagen,1
2023-01-22,318,double,2,New York,1
2023-01-22,138,single,1,New York,1
2023-01-22,357,suite,2,Berlin,1
2023-01-22,204,single,1,New York,1
2023-01-22,225,single,5,New York,1
2023-01-22,153,single,4,New York,1
2023-01-22,87,single,2,Copenhagen,1
2023-01-22,100,single,2,Copenhagen,1
2023-01-22,120,single,3,Copenhagen,1
2023-01-22,430,suite,4,Copenhagen,1
2023-01-22,164,single,1,Berlin,1
2023-01-22,108,single,2,Berlin,1
2023-01-22,235,double,2,New York,1
2023-01-22,142,double,2,Copenhagen,1
2023-01-22,327,double,4,New York,1
2023-01-22,290,double,3,New York,1
2023-01-22,155,single,4,Berlin,1
2023-01-22,247,suite,1,Copenhagen,1
2023-01-22,105,single,4,Copenhagen,1
2023-01-23,135,double,1,Copenhagen,1
2023-01-23,382,suite,1,New York,1
2023-01-23,310,suite,4,New York,1
2023-01-23,241,double,5,New York,1
2023-01-23,391,suite,2,Copenhagen,1
2023-01-23,342,suite,3,Copenhagen,1
2023-01-23,105,single,2,Copenhagen,1
2023-01-23,290,double,4,New York,1
2023-01-23,114,single,2,Berlin,1
2023-01-23,182,double,3,New York,1
2023-01-23,103,single,4,Berlin,1
2023-01-23,228,suite,5,Copenhagen,1
2023-01-23,225,single,4,New York,1
2023-01-23,106,single,1,Berlin,1
2023-01-23,279,double,1,New York,1
2023-01-23,200,double,3,New York,1
2023-01-23,147,double,3,Copenhagen,1
2023-01-23,229,double,4,Copenhagen,1
2023-01-23,235,double,4,Berlin,1
2023-01-23,212,single,1,New York,1
2023-01-24,60,single,1,Berlin,1
2023-01-24,200,double,4,Berlin,1
2023-01-24,77,single,2,Berlin,1
2023-01-24,465,suite,1,New York,1
2023-01-24,327,double,1,New York,1
2023-01-24,153,double,1,Copenhagen,1
2023-01-24,156,single,1,Berlin,1
2023-01-24,305,suite,3,Copenhagen,1
2023-01-24,310,double,1,New York,1
2023-01-24,332,double,3,New York,1
2023-01-24,430,suite,2,New York,1
2023-01-24,426,suite,3,New York,1
2023-01-24,70,single,4,Berlin,1
2023-01-24,306,suite,5,Copenhagen,1
2023-01-24,282,double,2,New York,1
2023-01-24,355,suite,3,Copenhagen,1
2023-01-24,347,suite,2,New York,1
2023-01-24,480,suite,5,New York,1
2023-01-24,68,single,2,Berlin,1
2023-01-24,352,suite,3,Copenhagen,1
2023-01-25,150,double,5,Copenhagen,1
2023-01-25,192,double,1,Copenhagen,1
2023-01-25,124,double,5,Berlin,1
2023-01-25,357,suite,1,Copenhagen,1
2023-01-25,151,double,5,Copenhagen,1
2023-01-25,400,suite,3,Copenhagen,1
2023-01-25,158,single,4,Copenhagen,1
2023-01-25,96,single,2,Copenhagen,1
2023-01-25,120,single,2,Copenhagen,1
2023-01-25,474,suite,5,New York,1
2023-01-25,169,single,1,New York,1
2023-01-25,492,suite,1,New York,1
2023-01-25,286,suite,1,Copenhagen,1
2023-01-25,102,single,5,Berlin,1
2023-01-25,259,double,1,New York,1
2023-01-25,181,double,2,New York,1
2023-01-25,234,double,3,New York,1
2023-01-25,243,double,4,New York,1
2023-01-25,172,single,2,New York,1
2023-01-25,306,suite,2,Copenhagen,1
2023-01-26,146,single,2,Copenhagen,1
2023-01-26,99,single,4,Berlin,1
2023-01-26,127,single,2,Copenhagen,1
2023-01-26,271,double,4,New York,1
2023-01-26,91,single,4,Berlin,1
2023-01-26,100,single,4,Copenhagen,1
2023-01-26,94,single,5,Copenhagen,1
2023-01-26,151,single,1,Copenhagen,1
2023-01-26,219,single,4,New York,1
2023-01-26,96,single,2,Copenhagen,1
2023-01-26,146,double,3,Copenhagen,1
2023-01-26,263,suite,2,Berlin,1
2023-01-26,291,double,4,New York,1
2023-01-26,156,single,2,New York,1
2023-01-26,324,double,1,New York,1
2023-01-26,207,double,1,Berlin,1
2023-01-26,292,suite,5,New York,1
2023-01-26,384,suite,1,New York,1
2023-01-26,332,suite,2,New York,1
2023-01-26,184,single,3,New York,1
2023-01-27,315,double,3,New York,1
2023-01-27,161,single,1,New York,1
2023-01-27,177,single,5,New York,1
2023-01-27,146,single,5,Copenhagen,1
2023-01-27,99,single,2,Copenhagen,1
2023-01-27,279,suite,5,Copenhagen,1
2023-01-27,460,suite,4,New York,1
2023-01-27,202,double,4,New York,1
2023-01-27,197,single,2,New York,1
2023-01-27,327,double,5,New York,1
2023-01-27,175,double,2,Copenhagen,1
2023-01-27,198,double,1,Berlin,1
2023-01-27,198,double,2,New York,1
2023-01-27,227,single,4,New York,1
2023-01-27,106,single,4,Berlin,1
2023-01-27,200,double,3,Copenhagen,1
2023-01-27,144,single,4,New York,1
2023-01-27,227,single,4,New York,1
2023-01-27,372,suite,4,New York,1
2023-01-27,157,single,1,New York,1
2023-01-28,380,suite,2,Berlin,1
2023-01-28,123,single,1,Copenhagen,1
2023-01-28,284,suite,1,New York,1
2023-01-28,305,suite,3,Copenhagen,1
2023-01-28,157,single,1,New York,1
2023-01-28,131,double,2,Copenhagen,1
2023-01-28,167,single,2,Berlin,1
2023-01-28,199,single,1,New York,1
2023-01-28,166,single,1,New York,1
2023-01-28,137,single,1,New York,1
2023-01-28,252,double,5,New York,1
2023-01-28,236,double,5,Copenhagen,1
2023-01-28,134,single,5,Copenhagen,1
2023-01-28,287,double,3,New York,1
2023-01-28,409,suite,4,Berlin,1
2023-01-28,186,single,3,New York,1
2023-01-28,281,suite,4,New York,1
2023-01-28,184,double,5,New York,1
2023-01-28,146,single,1,Copenhagen,1
2023-01-28,136,single,2,Copenhagen,1
2023-01-29,118,single,1,Copenhagen,1
2023-01-29,89,single,5,Berlin,1
2023-01-29,318,suite,1,New York,1
2023-01-29,286,suite,1,Copenhagen,1
2023-01-29,150,single,3,Copenhagen,1
2023-01-29,110,single,5,Copenhagen,1
2023-01-29,162,single,2,Berlin,1
2023-01-29,92,single,3,Copenhagen,1
2023-01-29,379,suite,3,Copenhagen,1
2023-01-29,128,single,1,Copenhagen,1
2023-01-29,198,single,1,New York,1
2023-01-29,128,double,3,Berlin,1
2023-01-29,229,single,2,New York,1
2023-01-29,136,single,2,New York,1
2023-01-29,158,double,1,Copenhagen,1
2023-01-29,160,single,1,Copenhagen,1
2023-01-29,302,suite,1,New York,1
2023-01-29,59,single,1,Berlin,1
2023-01-29,206,single,3,New York,1
2023-01-29,143,single,5,Berlin,1
2023-01-30,203,single,1,New York,1
2023-01-30,310,double,5,New York,1
2023-01-30,94,single,4,Berlin,1
2023-01-30,93,single,1,Copenhagen,1
2023-01-30,239,single,5,New York,1
2023-01-30,142,single,2,New York,1
2023-01-30,329,suite,4,New York,1
2023-01-30,220,single,4,New York,1
2023-01-30,226,suite,1,Copenhagen,1
2023-01-30,174,double,5,New York,1
2023-01-30,239,single,3,New York,1
2023-01-30,135,single,3,New York,1
2023-01-30,372,suite,3,New York,1
2023-01-30,298,double,2,New York,1
2023-01-30,129,single,4,Copenhagen,1
2023-01-30,238,single,2,New York,1
2023-01-30,109,single,1,Copenhagen,1
2023-01-30,226,single,5,New York,1
2023-01-30,200,single,1,New York,1
2023-01-30,223,double,4,Berlin,1
2023-01-31,219,single,3,New York,1
2023-01-31,425,suite,3,Berlin,1
2023-01-31,301,suite,1,New York,1
2023-01-31,163,double,2,Copenhagen,1
2023-01-31,92,single,5,Copenhagen,1
2023-01-31,329,suite,3,New York,1
2023-01-31,259,double,3,New York,1
2023-01-31,312,suite,4,New York,1
2023-01-31,177,double,1,Copenhagen,1
2023-01-31,126,single,5,Berlin,1
2023-01-31,184,double,2,New York,1
2023-01-31,97,single,3,Berlin,1
2023-01-31,324,double,3,New York,1
2023-01-31,264,suite,2,New York,1
2023-01-31,230,double,3,Copenhagen,1
2023-01-31,216,single,3,New York,1
2023-01-31,409,suite,1,New York,1
2023-01-31,94,single,3,Berlin,1
2023-01-31,167,single,5,Berlin,1
2023-01-31,182,double,5,Copenhagen,1
2023-02-01,295,double,2,New York,2
2023-02-01,127,single,4,Berlin,2
2023-02-01,171,single,5,New York,2
2023-02-01,135,single,1,New York,2
2023-02-01,411,suite,2,Berlin,2
2023-02-01,104,single,2,Copenhagen,2
2023-02-01,217,double,4,New York,2
2023-02-01,287,suite,2,New York,2
2023-02-01,215,single,2,New York,2
2023-02-01,65,single,5,Berlin,2
2023-02-01,318,suite,4,Copenhagen,2
2023-02-01,247,double,1,New York,2
2023-02-01,151,double,1,Copenhagen,2
2023-02-01,217,single,1,New York,2
2023-02-01,143,single,2,Berlin,2
2023-02-01,228,single,2,New York,2
2023-02-01,411,suite,2,New York,2
2023-02-01,253,double,2,New York,2
2023-02-01,64,single,1,Berlin,2
2023-02-01,252,double,3,New York,2
2023-02-02,144,single,4,New York,2
2023-02-02,173,single,1,New York,2
2023-02-02,102,single,4,Copenhagen,2
2023-02-02,413,suite,3,New York,2
2023-02-02,185,single,5,New York,2
2023-02-02,151,single,5,New York,2
2023-02-02,125,double,1,Berlin,2
2023-02-02,220,suite,4,Copenhagen,2
2023-02-02,243,double,4,New York,2
2023-02-02,392,suite,1,New York,2
2023-02-02,142,single,2,Berlin,2
2023-02-02,159,single,1,Copenhagen,2
2023-02-02,221,double,2,New York,2
2023-02-02,150,single,5,New York,2
2023-02-02,139,single,2,Copenhagen,2
2023-02-02,111,single,4,Copenhagen,2
2023-02-02,244,single,2,New York,2
2023-02-02,104,single,4,Berlin,2
2023-02-02,103,single,5,Copenhagen,2
2023-02-02,208,double,5,Copenhagen,2
2023-02-03,157,single,4,Berlin,2
2023-02-03,62,single,2,Berlin,2
2023-02-03,171,double,2,Berlin,2
2023-02-03,122,single,4,Copenhagen,2
2023-02-03,136,single,4,Berlin,2
2023-02-03,270,double,4,New York,2
2023-02-03,395,suite,2,New York,2
2023-02-03,123,single,4,Berlin,2
2023-02-03,268,suite,2,New York,2
2023-02-03,158,single,5,New York,2
2023-02-03,70,single,2,Berlin,2
2023-02-03,199,single,3,New York,2
2023-02-03,172,double,1,Copenhagen,2
2023-02-03,244,double,4,New York,2
2023-02-03,120,single,1,Copenhagen,2
2023-02-03,470,suite,4,New York,2
2023-02-03,295,double,4,New York,2
2023-02-03,242,single,1,New York,2
2023-02-03,226,single,1,New York,2
2023-02-03,295,suite,5,New York,2
2023-02-04,392,suite,3,Copenhagen,2
2023-02-04,512,suite,4,New York,2
2023-02-04,130,single,1,Berlin,2
2023-02-04,231,double,3,New York,2
2023-02-04,93,single,2,Berlin,2
2023-02-04,256,double,2,New York,2
2023-02-04,180,double,2,Copenhagen,2
2023-02-04,144,double,5,Copenhagen,2
2023-02-04,135,single,4,Berlin,2
2023-02-04,131,single,1,Copenhagen,2
2023-02-04,276,suite,5,Copenhagen,2
2023-02-04,197,double,3,New York,2
2023-02-04,254,double,3,New York,2
2023-02-04,108,single,4,Copenhagen,2
2023-02-04,244,double,4,New York,2
2023-02-04,138,single,1,Copenhagen,2
2023-02-04,177,double,5,New York,2
2023-02-04,168,double,5,Berlin,2
2023-02-04,156,single,5,Berlin,2
2023-02-04,266,double,4,New York,2
2023-02-05,94,single,1,Copenhagen,2
2023-02-05,310,suite,4,New York,2
2023-02-05,86,single,4,Berlin,2
2023-02-05,95,single,2,Berlin,2
